country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Hungary,0.037231253277399096,0.361770875104106,2005,4589.73393383347,247.116870260698,1407.44859455351,6244.29939864767,0,0.0110641960566659,0.0106045857072559,NA,0.05611118828653319,10087064,172611896000,17112.202187
Iceland,0.0354120727212374,0.563091219257939,2005,NA,NA,NA,9474.26454988431,0,0.012299797358811999,NA,NA,0.0795629293888459,296734,11074926000,37427.934965
Italy,NA,0.409585617602022,2005,5011.13514103282,303.349335687985,2711.86754390005,8026.35202062086,0,0.00928264088255749,0.009189896014560231,NA,0.0470566684176998,58166684,1746658110000,30028.488979
Japan,0.270042468480425,0.360903198294243,2005,NA,NA,NA,12326.051092759,0,0.0141205999696051,0.011585982917747699,0.0025346170518573603,0.0492397985481578,127767994,4110440486000,32174.400107
Mexico,NA,NA,2005,5346.19898097731,NA,1056.06674401202,6402.26572498933,0,0.013127162501547501,NA,NA,0.0653976005686871,105669369,1341775456000,12539.95753
Netherlands,NA,0.42120618388472403,2005,8717.13843640595,1.76671389027535,5164.01081792803,13882.9159682243,0,0.0127837345242095,0.0127837345242095,NA,0.050238610196399,16319871,614044120000,37625.252435
New Zealand,0.212394987689856,0.512561237367107,2005,8864.38262039244,NA,1397.32723636353,10261.709856756,0,0.0149657089957224,0.012402617633914299,0.0025630913618080796,0.0667971142182213,4133899.9999999995,106147849000,25590.127446
Norway,0.0170810347455037,0.40686794958739,2005,9897.39988655498,83.5435535280674,5571.38728707742,15552.3307271605,0,0.013049999999999999,NA,NA,0.0570808895028874,4623293,220981899000,47800.540634
Poland,0.0013358960924677499,0.45066822944659696,2005,4881.274885463093,1.37149588960941,710.0718277880721,5592.71820914077,0,0.015821588891306998,0.015690194874006202,NA,0.0593182969220036,38161313,530377339000.00006,13898.413011
Portugal,0.08610847651272441,0.32287344542812,2005,6784.980179927,NA,2002.34669147346,8787.32687140046,0,0.013504210311204,NA,NA,0.057186057994379605,10503330,238691186000,22725.351606
Slovak Republic,0.0229511684945472,0.301172167687534,2005,4273.34421260712,857.684850401081,652.385501397819,5783.41456440602,0,0.00923455219147717,0.00923455219147717,NA,0.044357132029710505,5387285,89400317000,16595.261602
Spain,0.17164402827267503,0.326966495753282,2005,7182.31247360681,NA,2906.72433803037,10089.0368116372,0,0.0111517243656778,NA,NA,0.0463227431339094,43662613,1205129038000,27600.937175
Sweden,0.045203419632062404,0.377236331615418,2005,8280.67667158013,NA,7665.60929494655,15946.2859665267,0,0.0164133169641323,NA,NA,0.06378540942623219,9029567,309212867000,34244.359285
Turkey,NA,0.11180946481665,2005,NA,NA,NA,NA,0,NA,NA,NA,NA,68435380,815102371000,11910.606724
United Kingdom,0.17357777547525502,0.394329958277853,2005,7792.71928349901,1048.97050645475,4664.78694579245,13506.4767357462,0,0.013471575545075,NA,NA,0.062494752305476,60413276,1977979631000,32740.960237
United States,0.0987185677491752,0.341731890107406,2005,18655.9576192109,2932.0898008372,2782.05216162886,24370.0995816769,0,0.0290138084573697,NA,NA,0.0713165840103427,295516599,13039197000000,44052.382996
Brazil,NA,NA,2005,9808.42341293321,NA,185.632351159003,9994.05576409222,1,0.00756,NA,NA,0.04354,184991143,2045343057000,11056.437748
Chile,NA,NA,2005,NA,NA,NA,6620.17834176454,1,0.017874340062734098,0.0139509134935904,0.00392342656914365,0.056922652434901605,16183489.000000002,206274403000,12667.853587
Estonia,NA,NA,2005,3866.63912681957,NA,1.91988040060555,3868.55900722018,1,0.011488551359241,0.00854086845466156,0.00295,0.0499737730341179,1354775,22536556000,16584.411085
Israel,NA,0.348233205939399,2005,7252.36125700215,1223.89099318895,2442.89033572567,10919.1425859168,1,0.0188108053041751,0.015138292272951099,0.003672513031224,0.0799225767016996,6930128,172238932000,24742.795915
Russian Federation,NA,NA,2005,NA,NA,265.845592325156,3420.8774380903,1,0.007940000000000001,0.00644,0.0015,0.0377,143113885,1822444794000,12698.299229
Slovenia,0.23604425104479,0.17848427759473398,2005,7015.98857767596,21.4346196204535,1535.59683511825,8573.02003241466,1,0.0130517862329879,NA,NA,0.0615630176178064,2001113.9999999998,47716594000,23848.602419
Australia,NA,0.590574274729408,2006,9321.41109618896,660.990787998887,5033.74432070752,15016.1462048954,0,0.0163214844781107,0.0149511618115143,0.00137032266659641,0.0570547557394627,20450966,774702195000,37880.895567
Austria,0.07448120595144869,0.214881978054905,2006,10453.6685900051,87.6458312824917,4606.40491853969,15147.7193398273,0,0.0131292295390262,0.012455641763449501,6.735877755767331e-4,0.0551130877469395,8267948.000000001,310998391000,37614.942761
Belgium,NA,NA,2006,8152.8139405609,343.043564999331,4747.79400771278,13243.651513273,0,0.012935924257273398,NA,NA,0.060877162772329706,10547956,371415055000,35211.893732
Canada,NA,0.34686839321997703,2006,15857.623856763894,1517.4815537714333,5434.484309893957,22809.58972042928,0,0.0274582223063603,0.017114998874240398,0.0103432234321199,0.0648291531523081,32571174,1241194165000,38107.136242
Czech Republic,0.0567325288139463,0.290007103499486,2006,6375.85658694084,88.3218583109388,1524.34082800481,7988.51927325659,0,0.0120469878176737,0.0116051164899575,NA,0.0479855655573599,10266646,244624887000,23827.147382
Denmark,0.09981606023262289,0.44574530897291503,2006,NA,NA,NA,15390.7243874489,0,0.0165574504078336,NA,NA,0.0725457975010932,5434567,202725721000,37286.319861
Finland,6.591152899219591e-4,0.475152185260731,2006,7950.55769044592,NA,4894.37653096584,12844.9342214118,0,0.0169562213445331,0.0169562213445331,NA,0.0584189247431239,5266266,181207156000,34408.817577
France,NA,NA,2006,7348.79523503883,667.2782004736,3552.03400133632,11568.1074368487,0,0.013286807689456299,0.010529184016040201,0.00275762367341609,0.059201908532516896,63393406,2062931189000,32431.435631
Germany,0.107589024520543,0.212302428630597,2006,7338.6600980365,657.705189468076,5019.51247931351,13015.8777668181,0,0.0106873684268441,0.00985152620788762,8.35842218956461e-4,0.047839309746349104,82376447,2810242832000,34620.413592
Greece,0.122191945895891,0.203752371298799,2006,NA,NA,NA,NA,0,NA,NA,NA,NA,11020366,314201080000,28510.877946
Hungary,0.0404410627571062,0.303324859179503,2006,4578.7974407195,264.203823889395,1523.87432100043,6366.87558560933,0,0.0112977609142879,0.0108526950574903,NA,0.056428388962501304,10071374,184958829000,18364.813245
Iceland,0.0405577441186988,0.628232861592837,2006,NA,NA,NA,8578.66040045008,0,0.0114350383374511,NA,NA,0.0797998178411138,303784,12044114000,39579.737256
Italy,NA,0.394218224232823,2006,5537.01037027444,256.131994982069,2931.63837979554,8724.78074505205,0,0.00935464062463148,0.00929042406163146,NA,0.04926181860787229,58399863,1884457559000,32268.164144
Japan,0.278740321227792,0.3861140955249071,2006,NA,NA,NA,13417.9875762008,0,0.014820172736761601,0.0122362232237142,0.00258394951304741,0.0499164214692778,127900515,4297284627999.9995,33615.080241
Mexico,NA,NA,2006,5393.36286908325,NA,1068.57224726324,6461.93511634649,0,0.0114482202689331,NA,NA,0.057225109781437,107155391,1485209624000,13720.688285
Netherlands,NA,0.43019372768493597,2006,9717.21570626865,NA,5478.3588781102,15195.5745843788,0,0.0146229867606147,0.0146229867606147,NA,0.055975030050247294,16346096,669518848000,40959.18563
New Zealand,0.243114143259663,0.518744252796022,2006,8009.82199452892,NA,1277.82213968285,9287.64413421177,0,0.014867230318975999,0.012483997989771501,0.00238323232920448,0.0625836284624708,4184599.9999999995,116100638000,27664.745638
Norway,0.011342030767896001,0.42646884604519597,2006,10637.8561449505,92.4110042856943,5504.89992327414,16235.1670725103,0,0.012422363124562099,NA,NA,0.054287444786538804,4660673,252086882000,54084.291298
Poland,0.0013599353300632324,0.47303898511729303,2006,4466.97616600198,1.40623121250398,755.6011182716237,5223.98351548611,0,0.013433003374429599,0.0133001770702932,NA,0.0567691888256098,38132277,577156392000,15135.749292
Portugal,0.08655108537020449,0.32945463867905195,2006,7208.41364053988,NA,2515.30302074739,9723.71666128727,0,0.013729398655960201,NA,NA,0.0556634812365737,10522288,259371294000,24649.676772
Slovak Republic,0.012268399062061,0.34604793361265995,2006,4201.42938911222,1122.45231225394,731.96057926226,6055.84228062842,0,0.00961247994754724,0.00961247994754724,NA,0.042548213267703104,5391184,101490226000,18826.142072
Spain,0.145279213900884,0.32932510818525,2006,7819.744582374851,NA,3241.5264861159435,11086.987976586872,0,0.011205744052497,NA,NA,0.046636715962386395,44360521,1362071029000,30704.576922
Sweden,0.04851898350997,0.40618239124239897,2006,8854.78974241246,NA,8136.0191498834,16990.8088922959,0,0.0161090599457389,NA,NA,0.0632544927416324,9080506,342150661000,37679.716019
Switzerland,0.09588730325061849,0.297904169016849,2006,12783.2467806507,NA,9446.86537940532,22230.112160056,0,0.013839999999999998,0.01366,NA,0.0590083851646859,7483935,347559421000,46129.811162
Turkey,0.107873239854926,0.15244991093052598,2006,4648.27236404086,NA,NA,4648.27236404086,0,0.00758,NA,NA,0.02698,69295253,944033702000,13623.402879
United Kingdom,0.149759017784003,0.389963395289262,2006,8425.3134591727,1289.1000022211,5732.72987536332,15447.1433367571,0,0.0129327555394118,NA,NA,0.059120036994742,60827067,2117406787000,34810.310992
United States,0.0991445450086303,0.355161909508012,2006,19476.0612319598,2908.12053540977,2724.58457780018,25108.7663451698,0,0.029188279754126502,NA,NA,0.0737564026800199,298379912,13815583000000,46234.10571
Brazil,NA,NA,2006,10066.5302115039,NA,227.358018516229,10293.8882300201,1,0.00769,NA,NA,0.049109999999999994,187061610,2190727859000.0002,11711.263786
Chile,NA,NA,2006,NA,NA,NA,6291.9402776664,1,0.0169623825447485,0.0126520188384791,0.00431036370626935,0.056511395541734497,16347890,257648251000,15685.218973
Estonia,NA,NA,2006,4062.53440500099,NA,NA,4062.53440500099,1,0.0108760258396816,0.007832689461223629,0.0030399999999999997,0.0490640448193709,1346810,26019613000,19263.798742
Israel,NA,0.36191929133321404,2006,9902.39999031824,1229.66045815159,NA,11132.0604484698,1,0.0180468777481342,0.014508978071982299,0.00353789967615187,0.077802580703518,7053707,181312087000,25578.794449
